address,pool_id,airdrop_amount,debt_total
osmo1p7lxtuwq0plydqdu77e2dkwnh9wsr5gnwsv2qu,1,"29985ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,234556uosmo","511608ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4310214uosmo"
osmo1p8ew2l88udgdam8qa7pa8ez9qyazljps38hm2a,712,"5142ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1378626uosmo","5611ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1556556uosmo"
osmo1pf56uwjsg6zh6jl8sahkt53385crwpyv525wja,1,"7969ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,62330uosmo","21121ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,177945uosmo"
osmo1pf5ld3lcts4p9xt04kn9gnmg0qvuyy70rdmy0n,712,"1855ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,497292uosmo","8787ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2437802uosmo"
osmo1pm0zrc59qlnr7me7lk3hqkx8v22z7mx37rtqzk,1,"17253ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,134954uosmo","26741ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,225293uosmo"
osmo1pp745v36pzpsnj0ecjt5ca6gspz6lxletsvy8n,712,"3009ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,806845uosmo","28927ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,8024528uosmo"
osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,712,"7294ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1955410uosmo","33555ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,9308451uosmo"
osmo1psut3wswfp0ft683g78u2ymea4w9kcne2j7nq3,678,"113471778ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,99841186uosmo","139658380ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,124905970uosmo"
osmo1q02xlmlkce0qvfghffpwp8ew5y2hczu82q4uwt,1,"6293ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,49225uosmo","99968ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,842212uosmo"
osmo1q4mzc4l3d3f9u5a4kuedd9aj84gzur3dt2wehr,712,"10352ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2775295uosmo","46237ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,12826548uosmo"
osmo1q5j8am95lgsvp02kjl36j0wufhktxtup2g29tm,1,"1342926ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,10504702uosmo","1605206ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,13523577uosmo"
osmo1q6vnjhcm5mj4vhdmvpmcr9ugvvzrqlc5v5qyjn,1,"301ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2353uosmo","4778ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,40255uosmo"
osmo1qddjm8krk97uurwl3ydx5nzz5kalmpuys8ckuq,704,"2124257483987508ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3322680uosmo","2080985974391721ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3391956uosmo"
osmo1qm3xhjqcg0g8q68c5x642afdja5srf2eugkena,678,"140ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,123uosmo","943ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,843uosmo"
osmo1qtr3nc3uym9203mnpals30zm4grmkj7d0tv9du,712,"1380ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,369967uosmo","11840ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,3284594uosmo"
osmo1qw8vwzfzquczf43gpk909tcrl5dnqe953l8hm0,712,"6818ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1827749uosmo","55613ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,15427274uosmo"
osmo1r0h2c2qyrzdlnl9pda4w92gfz0zs5hmv5v62y7,1,"403046ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,3152724uosmo","826795ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6965601uosmo"
osmo1r8xvgh0he0h7rjar3saucpmt303t0qy24lyj39,704,"6130634822917ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,9590uosmo","13847444303982ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,22570uosmo"
osmo1r9kg3dj3jmnfywvuhml8fn9r0dcmfffhgvq886,704,"439498736812159ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,687447uosmo","461745517322953ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,752633uosmo"
osmo1re5wtjufxl9lfvw3qksv3ha7tnz56p99pcs7uh,678,"31749097ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,27935294uosmo","159652742ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,142788286uosmo"
osmo1rfz9mnsrscmxl2x0nw4q98d8sf6s6yv4xdwsp6,712,"27233ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,7300885uosmo","58727ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16291298uosmo"
osmo1rgyhy3afhcgj7auyn50kfa0n8u09hjjggallyk,712,"1160ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,310942uosmo","1826ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,506749uosmo"
osmo1rkt3hj492qdnp5m6w9l6vscxpnhey0ml7xwnnv,1,"1688830ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,13210448uosmo","9054050ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,76278761uosmo"
osmo1rq2yhpmdet4ptmkczv0vmmv80guzm3u4qjkv0u,1,"59120ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,462450uosmo","939190ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7912515uosmo"
osmo1rsks3gfv2rcf3atj8gs09yyhrftyn7j5vuu9v7,712,"33870ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,9079993uosmo","63885ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,17722156uosmo"
osmo1rw9fedvw59ps84lm6uvy45z5dpsqp3jj2pvd3p,712,"4062ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1089030uosmo","16572ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,4597309uosmo"
