address,pool_id,shares_inflated,shares_inflated_locked,tokens_stolen,tokens_owed
osmo18r8kd2znaz5pssmw2fyps4htph7gvpndxnfh3l,1,0,74117479556871278697,,
osmo18ugyzt4fe22yqp6jmamt0zfjm5tpul7cmxej8d,1,0,1515543216029878926,,
osmo18v85clkgwzvuugp03xf4e4etl5qqqtc7mxzv56,1,,,,"46ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,357uosmo"
osmo18vln3u6et46gekr8wr2j9lexnhu52xce3qa05k,1,,,,"3ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,23uosmo"
osmo18w2j290xlmj8kpqjmxjmlc24u0jnfak7lxjwk6,1,0,31692208779987,,
osmo18w70c6a8w7f8q3vlv0uktgkxnsr5rxrxfv7jja,1,0,7535634128585549506,,
osmo18w9zzcnmqtypc689gkewxg964vvxxa6l7dqxju,1,,,,"46370ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,374462uosmo"
osmo18wjm7rwth43et04yf66srg5salqpgncshuleas,1,0,332700714198333567,,
osmo18xghup22yvqzagfes4elvxxaw7uq3spceez9td,1,,,,"217571ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1682158uosmo"
osmo18y3ntd3tvccdunk9068rndjarhrpg66gh8h7tx,1,0,3394282562755339192,,
osmo18zmpfjx5ym2hjnau26jd4mzt44qrzl3e2x5aq8,1,0,80581925441,,
osmo194jxs9jvar80wtavkan5eppwve2jh4vmnch6u2,1,0,1110881619996957046,,
osmo199gusfvvth63mvawn023a0pt3muvgegy3yvaxp,1,0,24585219244481,,
osmo19efm55x8ld5qvtk40wnu5ufavuanwwz8gdjq95,1,0,605247064498845,,
osmo19gyx7c9gy34mp63tqps434rwz5cel3al7ddzlq,1,0,2410507605163471,,
osmo19h088fp88zn65lx0y2ydurh9andq3w0n54kp38,1,14274024206015546746,,,
osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,1,0,4157002996273,,
osmo19l9wsymdh3mp7munzrlk8rs03ttnu2uaujyktu,1,0,5408843611001835160,,
osmo19lexqfkg95hn8ffe2qyxl3404vr2t6uvj6xp8q,1,,,,"64ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,504uosmo"
osmo19mugcxl8t9srvm9tfs5tpznsp68r3jtl4tn3x2,1,0,1290145558041569,,
osmo19par6lfpudg2uv8qg2eh82vkyl6drqk9975v3d,1,0,97918361561214,,
