height,txhash,code,gas_wanted,gas_used,timestamp,@type,poolId,sender,shares,token0_denom,token0_amount,token1_denom,token1_amount
4707544,F1EE5F6CE41F0D3DFF7328F46689E2903437784D700B30A952EBE93362118C2C,0,240000,121851,2022-06-07T17:05:56Z,/osmosis.gamm.v1beta1.MsgJoinPool,1,osmo1dffxgxg79rfqh54lfz7xpx93qjdt38wksq9dgs,5900394103549350930,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,82108,uosmo,639537
4707558,A7D0E6BEF09DC81DCCEB153159BDA24A09C0C3F895846A0D88D6A641341BBFCD,0,500000,275204,2022-06-07T17:07:29Z,/osmosis.gamm.v1beta1.MsgJoinPool,722,osmo1t5lx9y368e0fsf8yr84hqwdy3rqtut3p2n48qg,66073750925956886538,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,7201362425842433794,uosmo,13363830
4707559,A62D25F8D0C11CE26CA2307DEBD4751ED197F63B1753A7E097EE2E7043AEF3C3,0,450425,412886,2022-06-07T17:07:35Z,/osmosis.gamm.v1beta1.MsgExitPool,690,osmo1sx2qexffa63d6hda8zt6zfx7gm0hvdkfwq83fe,49397834613399964841,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,81992350,uosmo,6189880
4707568,138855C4A0CEC1A9560FC05FB2553F63545B747EA9E6272D5E0A78152BBD2F80,0,500000,162882,2022-06-07T17:08:40Z,/osmosis.gamm.v1beta1.MsgExitPool,605,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,27516196871722218251638,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,148194996152,uosmo,6044807
4707568,138855C4A0CEC1A9560FC05FB2553F63545B747EA9E6272D5E0A78152BBD2F80,0,500000,162882,2022-06-07T17:08:40Z,/osmosis.gamm.v1beta1.MsgExitPool,605,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,27516196871722218251638,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,148194996152,uosmo,6044807
4707568,138855C4A0CEC1A9560FC05FB2553F63545B747EA9E6272D5E0A78152BBD2F80,0,500000,162882,2022-06-07T17:08:40Z,/osmosis.gamm.v1beta1.MsgExitPool,605,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,27516196871722218251638,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,148194996152,uosmo,6044807
4707568,138855C4A0CEC1A9560FC05FB2553F63545B747EA9E6272D5E0A78152BBD2F80,0,500000,162882,2022-06-07T17:08:40Z,/osmosis.gamm.v1beta1.MsgExitPool,605,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,27516196871722218251638,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,148194996152,uosmo,6044807
4707568,138855C4A0CEC1A9560FC05FB2553F63545B747EA9E6272D5E0A78152BBD2F80,0,500000,162882,2022-06-07T17:08:40Z,/osmosis.gamm.v1beta1.MsgExitPool,605,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,27516196871722218251638,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,148194996152,uosmo,6044807
4707568,138855C4A0CEC1A9560FC05FB2553F63545B747EA9E6272D5E0A78152BBD2F80,0,500000,162882,2022-06-07T17:08:40Z,/osmosis.gamm.v1beta1.MsgExitPool,605,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,27516196871722218251638,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,148194996152,uosmo,6044807
4707568,138855C4A0CEC1A9560FC05FB2553F63545B747EA9E6272D5E0A78152BBD2F80,0,500000,162882,2022-06-07T17:08:40Z,/osmosis.gamm.v1beta1.MsgExitPool,605,osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,27516196871722218251638,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,148194996152,uosmo,6044807
